BOROUGH,longitude,latitude,Residential,Education Facility,Cultural Facility,Recreational Facility,Social Services,Transportation Facility,Commercial,Government Facility,Religious Institution,Health Services,Public Safety,Water,Miscellaneous
Manhattan,-74.00701717096757,40.724634757833414,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.82661642130311,40.797182526598505,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.99395441100663,40.70384707235758,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9919414213091,40.70960010711745,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.9526609766105,40.73906602249743,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.88514373689752,40.786728087346724,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.94269883592102,40.73904190947023,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.99021820844462,40.67614862375878,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.93236490031313,40.81950790508749,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.98924219391657,40.704871707578455,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.92788452519541,40.80405743794189,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93314181020845,40.819480548636484,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.83947161357135,40.76570484358984,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.9257029445795,40.778348477576266,0,0,0,0,0,1,0,0,0,0,0,0,0
Staten Island,-74.1425522840185,40.64096389860076,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.92157142849068,40.878164018513914,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.79372123642588,40.80223345814473,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9991447596062,40.75884885236805,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.95401591516496,40.74148434588156,0,0,0,0,0,1,0,0,0,0,0,0,0
Queens,-73.92252499509385,40.71654313746215,0,0,0,0,0,1,0,0,0,0,0,0,0
